Source;Target;Type
G;A#;Directed
Fdim;B7;Directed
Fm;C7/13-;Directed
C/F;G;Directed
Bm5-/7;E7;Directed
Am6;G7;Directed
Bb9;Cdim;Directed
Fm;Cdim;Directed
Em7/A;F;Directed
F6;G#dim;Directed
Bdim7;A#7;Directed
Gm;G#;Directed
Em7;G7;Directed
Dm;F#m5-/7;Directed
C7/13-;F;Directed
G7;F#m7;Directed
Ddim;G7;Directed
Dm7;Fmaj7;Directed
Dm7;D;Directed
F#m;Am;Directed
A9;Am7;Directed
D7;A#dim;Directed
Am7;E7/13-;Directed
C7;C6;Directed
Cdim;Adim;Directed
C7/9;F9;Directed
G6;C;Directed
G7;C#;Directed
Am6;F;Directed
Em6;C;Directed
G#;C#;Directed
A#dim;D#7;Directed
Am7;F;Directed
C6;C7+;Directed
A#m7/5-;F;Directed
Em7;Em6;Directed
F5;Fm7;Directed
C;C7+;Directed
G;A#dim;Directed
F#;F#7;Directed
A#;C;Directed
F;Gm7/5-;Directed
F6;D#dim;Directed
C#;G7;Directed
G/C;Am;Directed
G;G#dim;Directed
F4/7;F7;Directed
Ddim;C7;Directed
C;Bm;Directed
Am6;D7/13;Directed
F/D;C;Directed
F9;A#9;Directed
C7;Cm;Directed
Am7;D7/13;Directed
Fm6;G#dim;Directed
D;Fm7;Directed
G#dim;C9;Directed
G#m;D#;Directed
C;Ddim;Directed
Dm7;Fdim;Directed
Dm7;A#7;Directed
C#7;F#7;Directed
D7;D#dim;Directed
G6/9;C7;Directed
D#6;Cdim;Directed
D9;C7;Directed
Ddim;C6;Directed
D;Am;Directed
Dm7;F9;Directed
A#;Bdim7;Directed
F#m;B;Directed
C#7;D#7;Directed
D9;D7;Directed
G#dim;C;Directed
C;C#9;Directed
E;C#7;Directed
Dm;E;Directed
G#;F;Directed
Fm7;Gm7;Directed
C#;C7;Directed
F;Bm5-/7;Directed
Fdim;G7;Directed
G;D#dim;Directed
G7;G7/9-;Directed
G#9;G9;Directed
A#6;A#6/C;Directed
C9;B7;Directed
C;G7/9;Directed
Gdim;G7/9;Directed
G4/7;Dm7;Directed
Cm;Cm6;Directed
Gm5-/7;A#dim;Directed
Gm7;Gdim;Directed
C7;F4/7;Directed
F;A#m;Directed
Csus4;C;Directed
A#maj7;G#;Directed
F7;F#dim;Directed
C4/7;F6;Directed
C9;F9;Directed
Am5+;Am7;Directed
Dm;A5+;Directed
A#dim;F;Directed
Dm7;Dm7/13;Directed
Cm6;D#dim;Directed
G#7;A#dim;Directed
G7/13;F9;Directed
C#;D#;Directed
B;C;Directed
G7;D#;Directed
Bm;Am7+;Directed
D7/13;Em7;Directed
C#;G#7;Directed
A#dim;C7;Directed
C;G7/13;Directed
G7;Cdim;Directed
A#;A#dim;Directed
F7;A#7;Directed
C5-/7;G4/7;Directed
F9;Gdim;Directed
A#m7;Gm7/5-;Directed
C6;C9;Directed
C7/13-;D#dim;Directed
C7;A;Directed
Dm;G;Directed
A#;A#add9;Directed
G5+;C6;Directed
C;C9;Directed
E;E7;Directed
A#m7;C;Directed
A#;Am;Directed
A#dim;C6;Directed
G#;Cm6;Directed
C7/5+;F;Directed
E7;Em5-/7;Directed
Gm7;G7;Directed
Bb7/11+;Am;Directed
C#;Cm;Directed
F/G;G7;Directed
Fm5-/7;C9;Directed
G7;Csus4;Directed
G7/9;C9;Directed
F#;A#;Directed
A#dim;G#7;Directed
Gdim;C;Directed
G#;Cm;Directed
C7/5+;C7;Directed
Am7+;Am;Directed
C7;F#;Directed
Em7;D#dim;Directed
Gm7;A#/A;Directed
G9;D;Directed
Fm5-/7;C;Directed
C#7;C7;Directed
Am5-/7;A#;Directed
A#7;F7;Directed
E7;G6;Directed
G9;G;Directed
Gm;A#m6;Directed
F9;G7;Directed
Fm;D;Directed
Gdim;Dm;Directed
Am;E7/9-;Directed
Am7/D;Am5-/7;Directed
G;Bb;Directed
Gm7;F;Directed
Cmaj7;Cdim;Directed
F;F7;Directed
Gdim;Dm7;Directed
G7;C4;Directed
G#dim;Am;Directed
G#7;C#7;Directed
C;A#;Directed
G7;Dm5-/7;Directed
A;G7+;Directed
Dm7;F;Directed
C9;G7;Directed
D#dim;Gdim;Directed
G7/13;G7;Directed
A7;Fmaj7;Directed
F#m5-/7;C;Directed
C#7;G#7;Directed
Dm7;C7;Directed
Am;A#dim;Directed
Gm;Gm7;Directed
A#;B;Directed
Gm7/5-;C7;Directed
Dm;Ddim;Directed
F9;Fm6;Directed
C;Fm#5-/7;Directed
Dm;Gm;Directed
A7;G;Directed
Fmaj7;A#9;Directed
C#m7;F#7;Directed
Dm7/5-;F9;Directed
F9;C7;Directed
Cm6;Cm7;Directed
C7;C7/5+;Directed
Cmaj7;Em7/5-;Directed
G;G#;Directed
Dm;Edim;Directed
Am;Am5-/7;Directed
G7;A;Directed
Am6;Am5+;Directed
Fdim;Bb7;Directed
Dm7;G4/7;Directed
Am7;Am7/D;Directed
D;A#7;Directed
Bdim;F;Directed
Fmaj7;Fdim;Directed
A7;A7/9;Directed
C9;C7;Directed
Dm;G7/9;Directed
G;C7+;Directed
D#7;C#;Directed
Dm7;G#7;Directed
C;A#dim;Directed
A7;Em5-/7;Directed
D7;Gdim;Directed
G7/13;C7;Directed
Bdim;C7;Directed
G9;F#m;Directed
G9;Gm;Directed
F7;F;Directed
A#9;F9;Directed
Bb7;Am;Directed
C#;F#;Directed
G;Bm;Directed
E7;Em;Directed
D7;G#9;Directed
G7/9;D#m7;Directed
E;Am7;Directed
Am7;Cmaj7;Directed
G7;E;Directed
F7;Dm;Directed
Dm;Dm7/G;Directed
C9;C6;Directed
Am7;G;Directed
A7;F9;Directed
