Source;Target;Type;Id;Label;Weight
116.0;198.0;Directed;;;
193.0;75.0;Directed;;;
199.0;200.0;Directed;;;
73.0;197.0;Directed;;;
240.0;207.0;Directed;;;
170.0;225.0;Directed;;;
116.0;73.0;Directed;;;
73.0;156.0;Directed;;;
197.0;45.0;Directed;;;
156.0;170.0;Directed;;;
199.0;184.0;Directed;;;
45.0;59.0;Directed;;;
172.0;34.0;Directed;;;
170.0;199.0;Directed;;;
203.0;156.0;Directed;;;
199.0;228.0;Directed;;;
168.0;188.0;Directed;;;
168.0;199.0;Directed;;;
185.0;224.0;Directed;;;
224.0;73.0;Directed;;;
198.0;203.0;Directed;;;
198.0;132.0;Directed;;;
156.0;225.0;Directed;;;
199.0;186.0;Directed;;;
188.0;91.0;Directed;;;
80.0;173.0;Directed;;;
187.0;224.0;Directed;;;
199.0;198.0;Directed;;;
59.0;168.0;Directed;;;
198.0;172.0;Directed;;;
173.0;185.0;Directed;;;
85.0;156.0;Directed;;;
73.0;212.0;Directed;;;
212.0;185.0;Directed;;;
186.0;85.0;Directed;;;
225.0;80.0;Directed;;;
228.0;19.0;Directed;;;
189.0;156.0;Directed;;;
156.0;59.0;Directed;;;
188.0;85.0;Directed;;;
73.0;237.0;Directed;;;
91.0;168.0;Directed;;;
34.0;176.0;Directed;;;
199.0;188.0;Directed;;;
19.0;34.0;Directed;;;
34.0;199.0;Directed;;;
212.0;187.0;Directed;;;
168.0;198.0;Directed;;;
176.0;189.0;Directed;;;
184.0;168.0;Directed;;;
237.0;45.0;Directed;;;
172.0;34.0;Directed;;;
205.0;170.0;Directed;;;
170.0;59.0;Directed;;;
198.0;170.0;Directed;;;
228.0;59.0;Directed;;;
215.0;58.0;Directed;;;
199.0;205.0;Directed;;;
156.0;198.0;Directed;;;
116.0;172.0;Directed;;;
181.0;112.0;Directed;;;
207.0;156.0;Directed;;;
59.0;191.0;Directed;;;
59.0;199.0;Directed;;;
198.0;116.0;Directed;;;
189.0;157.0;Directed;;;
205.0;156.0;Directed;;;
199.0;189.0;Directed;;;
191.0;199.0;Directed;;;
199.0;198.0;Directed;;;
199.0;207.0;Directed;;;
225.0;80.0;Directed;;;
156.0;199.0;Directed;;;
156.0;215.0;Directed;;;
58.0;225.0;Directed;;;
156.0;172.0;Directed;;;
156.0;181.0;Directed;;;
34.0;199.0;Directed;;;
112.0;215.0;Directed;;;
215.0;156.0;Directed;;;
80.0;228.0;Directed;;;
104.0;226.0;Directed;;;
127.0;191.0;Directed;;;
58.0;181.0;Directed;;;
226.0;80.0;Directed;;;
219.0;215.0;Directed;;;
228.0;59.0;Directed;;;
67.0;225.0;Directed;;;
191.0;219.0;Directed;;;
181.0;228.0;Directed;;;
51.0;236.0;Directed;;;
192.0;104.0;Directed;;;
51.0;181.0;Directed;;;
181.0;80.0;Directed;;;
225.0;127.0;Directed;;;
228.0;51.0;Directed;;;
236.0;146.0;Directed;;;
80.0;173.0;Directed;;;
233.0;111.0;Directed;;;
