Source;Target;Type;Id;Label;Weight
84;24;Directed;;;
168;133;Directed;;;
225;45;Directed;;;
84;225;Directed;;;
84;176;Directed;;;
35;143;Directed;;;
146;35;Directed;;;
108;237;Directed;;;
133;80;Directed;;;
84;35;Directed;;;
150;35;Directed;;;
80;150;Directed;;;
89;92;Directed;;;
237;198;Directed;;;
143;35;Directed;;;
207;105;Directed;;;
105;149;Directed;;;
35;133;Directed;;;
198;84;Directed;;;
191;170;Directed;;;
92;176;Directed;;;
198;105;Directed;;;
35;108;Directed;;;
133;198;Directed;;;
105;191;Directed;;;
133;207;Directed;;;
80;146;Directed;;;
170;3;Directed;;;
172;3;Directed;;;
149;35;Directed;;;
176;80;Directed;;;
35;19;Directed;;;
191;172;Directed;;;
19;105;Directed;;;
3;133;Directed;;;
133;84;Directed;;;
105;89;Directed;;;
157;111;Directed;;;
172;14;Directed;;;
115;87;Directed;;;
93;117;Directed;;;
233;97;Directed;;;
117;93;Directed;;;
84;35;Directed;;;
174;93;Directed;;;
84;163;Directed;;;
35;127;Directed;;;
84;172;Directed;;;
198;133;Directed;;;
163;133;Directed;;;
174;108;Directed;;;
35;133;Directed;;;
89;174;Directed;;;
198;84;Directed;;;
108;35;Directed;;;
93;174;Directed;;;
84;19;Directed;;;
84;89;Directed;;;
111;198;Directed;;;
133;198;Directed;;;
97;89;Directed;;;
19;133;Directed;;;
133;115;Directed;;;
137;198;Directed;;;
127;108;Directed;;;
14;133;Directed;;;
133;84;Directed;;;
133;157;Directed;;;
108;198;Directed;;;
14;84;Directed;;;
89;233;Directed;;;
198;137;Directed;;;
29;142;Directed;;;
31;142;Directed;;;
142;80;Directed;;;
3;129;Directed;;;
0;2;Directed;;;
142;31;Directed;;;
0;142;Directed;;;
2;142;Directed;;;
3;107;Directed;;;
0;29;Directed;;;
142;0;Directed;;;
174;31;Directed;;;
0;65;Directed;;;
31;174;Directed;;;
65;142;Directed;;;
31;0;Directed;;;
31;3;Directed;;;
142;29;Directed;;;
107;178;Directed;;;
80;142;Directed;;;
0;3;Directed;;;
178;0;Directed;;;
129;31;Directed;;;
53;133;Directed;;;
87;89;Directed;;;
3;129;Directed;;;
84;35;Directed;;;
133;205;Directed;;;
84;163;Directed;;;
198;133;Directed;;;
205;84;Directed;;;
163;133;Directed;;;
35;133;Directed;;;
198;84;Directed;;;
174;187;Directed;;;
187;87;Directed;;;
198;105;Directed;;;
133;198;Directed;;;
135;198;Directed;;;
198;129;Directed;;;
84;174;Directed;;;
105;87;Directed;;;
172;3;Directed;;;
84;3;Directed;;;
53;131;Directed;;;
129;53;Directed;;;
131;53;Directed;;;
3;133;Directed;;;
129;135;Directed;;;
57;3;Directed;;;
84;57;Directed;;;
89;172;Directed;;;
174;142;Directed;;;
35;225;Directed;;;
35;170;Directed;;;
84;35;Directed;;;
3;135;Directed;;;
31;35;Directed;;;
105;198;Directed;;;
229;133;Directed;;;
35;133;Directed;;;
224;45;Directed;;;
89;174;Directed;;;
187;84;Directed;;;
57;84;Directed;;;
198;84;Directed;;;
198;87;Directed;;;
187;87;Directed;;;
135;174;Directed;;;
229;224;Directed;;;
170;89;Directed;;;
187;105;Directed;;;
198;105;Directed;;;
123;224;Directed;;;
133;198;Directed;;;
45;140;Directed;;;
57;105;Directed;;;
198;172;Directed;;;
84;31;Directed;;;
191;142;Directed;;;
35;187;Directed;;;
172;3;Directed;;;
105;35;Directed;;;
188;57;Directed;;;
198;89;Directed;;;
89;188;Directed;;;
84;198;Directed;;;
89;191;Directed;;;
174;198;Directed;;;
225;45;Directed;;;
45;26;Directed;;;
87;35;Directed;;;
140;123;Directed;;;
142;35;Directed;;;
26;229;Directed;;;
84;178;Directed;;;
89;174;Directed;;;
198;84;Directed;;;
221;84;Directed;;;
178;84;Directed;;;
84;89;Directed;;;
84;198;Directed;;;
174;221;Directed;;;
191;168;Directed;;;
102;230;Directed;;;
3;187;Directed;;;
87;19;Directed;;;
31;142;Directed;;;
35;45;Directed;;;
174;84;Directed;;;
19;198;Directed;;;
31;166;Directed;;;
198;75;Directed;;;
198;194;Directed;;;
84;178;Directed;;;
186;198;Directed;;;
198;84;Directed;;;
178;142;Directed;;;
166;174;Directed;;;
84;89;Directed;;;
45;198;Directed;;;
3;186;Directed;;;
5;3;Directed;;;
168;198;Directed;;;
84;174;Directed;;;
75;31;Directed;;;
230;5;Directed;;;
84;198;Directed;;;
194;198;Directed;;;
174;198;Directed;;;
142;35;Directed;;;
